,年化收益率,季度胜率,夏普比率,卡玛比率,参数
绩效数据,0.05758882853193703,0.5952380952380952,0.07751668155611631,0.16581775841590987,cmo_length: 5; m_length: 5
绩效数据,-0.04426069488873463,0.4523809523809524,-0.3827719446504713,-0.057590251810834034,cmo_length: 185; m_length: 160
绩效数据,-0.04073445331460657,0.4523809523809524,-0.36681587963552487,-0.0535275190701542,cmo_length: 185; m_length: 165
绩效数据,-0.049327140316936746,0.4523809523809524,-0.4059481098994031,-0.06485560169342569,cmo_length: 185; m_length: 170
绩效数据,-0.04901389233273312,0.4523809523809524,-0.4045791596980729,-0.06410525394417252,cmo_length: 185; m_length: 175
绩效数据,-0.05711376620820163,0.4523809523809524,-0.4414897935823539,-0.07449202455475597,cmo_length: 185; m_length: 180
绩效数据,-0.05618927702257892,0.47619047619047616,-0.4373547087733689,-0.07341739093018473,cmo_length: 185; m_length: 185
绩效数据,-0.054872400203592187,0.47619047619047616,-0.4314221122195086,-0.07278708776045344,cmo_length: 185; m_length: 190
绩效数据,-0.05966887666961018,0.47619047619047616,-0.453289313606427,-0.0781156932896581,cmo_length: 185; m_length: 195
绩效数据,-0.06427184551001319,0.4523809523809524,-0.4742820554643287,-0.08436713669730206,cmo_length: 185; m_length: 200
绩效数据,-0.055439704122952294,0.42857142857142855,-0.4346381739922765,-0.07394133192737545,cmo_length: 185; m_length: 205
绩效数据,-0.05108863036979738,0.42857142857142855,-0.4150036161773424,-0.06839744888993622,cmo_length: 185; m_length: 210
绩效数据,-0.05223925318572642,0.4523809523809524,-0.4203557896722167,-0.06840565687991461,cmo_length: 185; m_length: 215
绩效数据,-0.04094397678588302,0.4523809523809524,-0.36892073374903905,-0.055869836977800576,cmo_length: 185; m_length: 220
绩效数据,-0.04989943889131765,0.40476190476190477,-0.40978670724484234,-0.06573475647452853,cmo_length: 185; m_length: 225
绩效数据,-0.05336185541084826,0.38095238095238093,-0.42563111263647524,-0.06968927682435602,cmo_length: 185; m_length: 230
绩效数据,-0.045809154635678695,0.40476190476190477,-0.3915827277343294,-0.060746212964543085,cmo_length: 185; m_length: 235
绩效数据,0.037643829135697304,0.5952380952380952,-0.010571851375673584,0.0964199531401644,cmo_length: 190; m_length: 5
绩效数据,0.042314687163466314,0.5476190476190477,0.010386950552044092,0.07104269207571406,cmo_length: 190; m_length: 10
绩效数据,0.06567818213827192,0.5238095238095238,0.11539922178805218,0.12066914176341481,cmo_length: 190; m_length: 15
绩效数据,0.019277202597618004,0.5476190476190477,-0.09341572327450096,0.029752410233669337,cmo_length: 190; m_length: 20
绩效数据,0.03967563679102892,0.5476190476190477,-0.0014630464882546875,0.05640381237073133,cmo_length: 190; m_length: 25
绩效数据,0.035181184510791,0.5,-0.021742180116710197,0.05094933670344119,cmo_length: 190; m_length: 30
绩效数据,0.06177184335989394,0.5714285714285714,0.09825971299537156,0.10074196793132514,cmo_length: 190; m_length: 35
绩效数据,0.05307205516429159,0.5238095238095238,0.05900087384666584,0.10108251323578613,cmo_length: 190; m_length: 40
绩效数据,0.06225518324364643,0.5714285714285714,0.1004688474989724,0.12370212091585042,cmo_length: 190; m_length: 45
绩效数据,0.03855618648766557,0.5952380952380952,-0.006517762993360694,0.06454010291364892,cmo_length: 190; m_length: 50
绩效数据,0.044636592234659656,0.5714285714285714,0.020934919526388148,0.07665410787316826,cmo_length: 190; m_length: 55
绩效数据,0.011356750019389628,0.5238095238095238,-0.1293203133479642,0.018409754521570114,cmo_length: 190; m_length: 60
绩效数据,0.0018590539501972536,0.5952380952380952,-0.17221150264118948,0.002860078715490727,cmo_length: 190; m_length: 65
绩效数据,-0.01871924379215495,0.5476190476190477,-0.2651656145317296,-0.027007545368673298,cmo_length: 190; m_length: 70
绩效数据,-0.018028494211712265,0.5238095238095238,-0.2621437520689887,-0.028043369460251134,cmo_length: 190; m_length: 75
绩效数据,-0.013453287436420602,0.5238095238095238,-0.24153615222837518,-0.020087618056526466,cmo_length: 190; m_length: 80
绩效数据,-0.0027554746266721386,0.5,-0.1932885190772176,-0.0043335069213563246,cmo_length: 190; m_length: 85
绩效数据,-0.007477983778371389,0.5,-0.21471723149774072,-0.012257118851721354,cmo_length: 190; m_length: 90
绩效数据,-0.0046836235222346145,0.5,-0.20214995612361916,-0.00767073946927493,cmo_length: 190; m_length: 95
绩效数据,0.020471192283735506,0.47619047619047616,-0.08839050054079939,0.0387698489903685,cmo_length: 190; m_length: 100
绩效数据,0.03461475558526983,0.47619047619047616,-0.024403403898463447,0.06806014581162328,cmo_length: 190; m_length: 105
绩效数据,0.01678899510704257,0.5,-0.10519746942145927,0.029669894207251597,cmo_length: 190; m_length: 110
绩效数据,-0.00990096086272807,0.5,-0.22625814438821537,-0.015091581765535357,cmo_length: 190; m_length: 115
绩效数据,-0.020280175899876962,0.47619047619047616,-0.27342916993508287,-0.030238156004371217,cmo_length: 190; m_length: 120
绩效数据,-0.02681523779972983,0.42857142857142855,-0.30314500847224024,-0.03727463055744286,cmo_length: 190; m_length: 125
绩效数据,-0.02666145517244012,0.47619047619047616,-0.30249644801383313,-0.038065079299799014,cmo_length: 190; m_length: 130
绩效数据,-0.028059861042072476,0.47619047619047616,-0.3089507982957268,-0.04003811791955749,cmo_length: 190; m_length: 135
绩效数据,-0.025912909204953816,0.47619047619047616,-0.29931122420336603,-0.0377610491540628,cmo_length: 190; m_length: 140
绩效数据,-0.025762891924117737,0.4523809523809524,-0.2986886648050222,-0.03681126077866558,cmo_length: 190; m_length: 145
绩效数据,-0.012722556365830973,0.4523809523809524,-0.23949263717443386,-0.018578291251510524,cmo_length: 190; m_length: 150
绩效数据,-0.025528963237418933,0.47619047619047616,-0.2976735711006395,-0.03453396541705298,cmo_length: 190; m_length: 155
绩效数据,-0.03919807768273453,0.4523809523809524,-0.3598345708643301,-0.051350515575944895,cmo_length: 190; m_length: 160
绩效数据,-0.05709640262161353,0.4523809523809524,-0.4412649418894622,-0.07238062867575089,cmo_length: 190; m_length: 165
绩效数据,-0.05686136573376466,0.4523809523809524,-0.4402562239036687,-0.07270599135892732,cmo_length: 190; m_length: 170
绩效数据,-0.05314211407072955,0.4523809523809524,-0.4234293318818184,-0.0704002211452838,cmo_length: 190; m_length: 175
绩效数据,-0.04824305235179671,0.4523809523809524,-0.4012163211087005,-0.06458625624033473,cmo_length: 190; m_length: 180
绩效数据,-0.04745109826079763,0.47619047619047616,-0.397667061814023,-0.06365341802888398,cmo_length: 190; m_length: 185
绩效数据,-0.0536649376133711,0.47619047619047616,-0.4259758310354567,-0.0711854139645962,cmo_length: 190; m_length: 190
绩效数据,-0.0629897090271817,0.4523809523809524,-0.46844797604716126,-0.08246317117744856,cmo_length: 190; m_length: 195
绩效数据,-0.06455772530459791,0.4523809523809524,-0.4761770197058854,-0.08355523053331995,cmo_length: 190; m_length: 200
绩效数据,-0.05998177300788421,0.42857142857142855,-0.4555332131617632,-0.0794918414689758,cmo_length: 190; m_length: 205
绩效数据,-0.06246510244603254,0.40476190476190477,-0.4669724648389376,-0.08064048880923837,cmo_length: 190; m_length: 210
绩效数据,-0.053411440056075454,0.42857142857142855,-0.4257555747914233,-0.06975623331817976,cmo_length: 190; m_length: 215
绩效数据,-0.053149295072740244,0.42857142857142855,-0.4246040306656908,-0.06884390850854258,cmo_length: 190; m_length: 220
绩效数据,-0.06506867758870005,0.38095238095238093,-0.4790206046217198,-0.0818539763425384,cmo_length: 190; m_length: 225
绩效数据,-0.04579545381675465,0.40476190476190477,-0.39152019422306783,-0.06051415853006696,cmo_length: 190; m_length: 230
绩效数据,-0.047244741100334164,0.38095238095238093,-0.3987358444279914,-0.06281088390967912,cmo_length: 190; m_length: 235
绩效数据,0.03616318521287831,0.5714285714285714,-0.01721682925036614,0.09262746919436686,cmo_length: 195; m_length: 5
绩效数据,0.037811227521687085,0.5476190476190477,-0.009834849668105963,0.06348177367945197,cmo_length: 195; m_length: 10
绩效数据,0.06690611908370925,0.5238095238095238,0.1213200174171886,0.12292520446980267,cmo_length: 195; m_length: 15
绩效数据,0.016955591468264197,0.5476190476190477,-0.10393221880078891,0.026169238537786355,cmo_length: 195; m_length: 20
绩效数据,0.03767688966201188,0.5476190476190477,-0.010481849862876433,0.05282347807938262,cmo_length: 195; m_length: 25
绩效数据,0.048703605565091124,0.5,0.03927754849797558,0.0724354016287018,cmo_length: 195; m_length: 30
绩效数据,0.046045056806151896,0.5714285714285714,0.027283324226400694,0.07509359254726564,cmo_length: 195; m_length: 35
绩效数据,0.05371996921446254,0.5238095238095238,0.061934072964899264,0.10231654836687969,cmo_length: 195; m_length: 40
绩效数据,0.04826972432255472,0.5714285714285714,0.037333708810669816,0.09069928795530084,cmo_length: 195; m_length: 45
绩效数据,0.05189173522974633,0.5714285714285714,0.053695217625371675,0.0972094085663786,cmo_length: 195; m_length: 50
绩效数据,0.044937259952882114,0.5714285714285714,0.02229422148892053,0.07642460792558645,cmo_length: 195; m_length: 55
绩效数据,0.005857958312847966,0.5238095238095238,-0.15415736831035254,0.009404519857572286,cmo_length: 195; m_length: 60
绩效数据,-0.008075080066531126,0.5952380952380952,-0.2171006361299528,-0.01181970613507417,cmo_length: 195; m_length: 65
绩效数据,-0.030795457624680722,0.5476190476190477,-0.31981858921325096,-0.043458436722301944,cmo_length: 195; m_length: 70
绩效数据,-0.011063061815615782,0.5238095238095238,-0.23073615287975738,-0.017598866415717635,cmo_length: 195; m_length: 75
绩效数据,-0.014298478603773201,0.5,-0.24546821451992104,-0.021393857189787296,cmo_length: 195; m_length: 80
绩效数据,0.00540326605558028,0.5238095238095238,-0.15646626408750985,0.009130479934683411,cmo_length: 195; m_length: 85
