,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.1609528248441292,0.7380952380952381,0.5363455415890697,0.5294559200434773,25,1.0
绩效数据,0.0767571880086435,0.5476190476190477,0.21572761483041317,0.19024204527043867,25,1.5
绩效数据,0.008507283775561092,0.5476190476190477,-0.27594192656783184,0.024643402034796064,25,2.0
绩效数据,0.02400674152931037,0.5238095238095238,-0.4268558278130542,0.5173216138386114,25,2.5
绩效数据,-0.005345279430670424,0.19047619047619047,-2.562989211021249,-0.07347387837495867,25,3.0
绩效数据,0.2287452515938062,0.7142857142857143,0.6939016214017437,0.5375515080003939,30,0.5
绩效数据,0.17639934262286738,0.7380952380952381,0.5755038257415275,0.5718399706552548,30,1.0
绩效数据,0.07946154599382571,0.5476190476190477,0.2201269699147217,0.21255052227601096,30,1.5
绩效数据,0.024591511366869323,0.5238095238095238,-0.14726644549563458,0.10541330076246218,30,2.0
绩效数据,0.0141281495104002,0.42857142857142855,-0.6659415627113575,0.14816492361610828,30,2.5
绩效数据,-0.0016614880257999065,0.2619047619047619,-2.159418244573128,-0.02997893827911753,30,3.0
绩效数据,0.2013429552284165,0.6904761904761905,0.5919404155103165,0.3937628309575409,35,0.5
绩效数据,0.22298921681533157,0.7142857142857143,0.7880763490966985,0.7297770630264664,35,1.0
绩效数据,0.054702104537915464,0.5714285714285714,0.07943250461570577,0.11374717331590069,35,1.5
绩效数据,0.015772149403886493,0.4523809523809524,-0.19710898748282232,0.05382444877731624,35,2.0
绩效数据,0.02691622340617883,0.40476190476190477,-0.33142371350069955,0.4531657377206899,35,2.5
绩效数据,-0.00010059706686871284,0.19047619047619047,-2.1119085150460846,-0.0023395275074782535,35,3.0
绩效数据,0.23642610671067565,0.6666666666666666,0.7325159531951024,0.6446480905777063,40,0.5
绩效数据,0.19130141476675555,0.6904761904761905,0.6415246487506037,0.6427329101755664,40,1.0
绩效数据,0.07440972387457157,0.6190476190476191,0.18008007730707343,0.18291851898638598,40,1.5
绩效数据,0.00985613780493777,0.42857142857142855,-0.2416947650546172,0.03175833891210354,40,2.0
绩效数据,0.00967438267334697,0.3333333333333333,-0.39851612343554005,0.041296299257598604,40,2.5
绩效数据,0.004781568816257131,0.21428571428571427,-1.939037110907157,0.11930364880466299,40,3.0
绩效数据,0.20322493624951998,0.6190476190476191,0.6198006662865949,0.5081893610850097,45,0.5
绩效数据,0.24831412656526086,0.7142857142857143,0.8850946777381496,0.8342837474546961,45,1.0
绩效数据,0.07491696453589025,0.5476190476190477,0.1800084094285914,0.2511326930915409,45,1.5
绩效数据,0.015101838118822153,0.3333333333333333,-0.18378278688629643,0.04021862881514952,45,2.0
绩效数据,0.006385965595697263,0.35714285714285715,-0.4946830287465489,0.03605365687571136,45,2.5
绩效数据,0.0012338722561628934,0.19047619047619047,-2.1428589567713474,0.029274879718268393,45,3.0
绩效数据,0.20204815256454323,0.6666666666666666,0.6202153609954806,0.47581954711450664,50,0.5
绩效数据,0.24201260248889445,0.7142857142857143,0.856052163802903,0.8131119390125966,50,1.0
绩效数据,0.0783053402203091,0.5,0.19855557153451978,0.2630896340387827,50,1.5
绩效数据,0.025917984145564343,0.40476190476190477,-0.0981353001259484,0.07766549852912837,50,2.0
绩效数据,0.02870125434252846,0.38095238095238093,-0.22426778836056918,0.3634201774595873,50,2.5
绩效数据,-0.0006680790152187033,0.14285714285714285,-2.6279290821339494,-0.01666906140395306,50,3.0
绩效数据,0.1923915243596861,0.7142857142857143,0.5848676504297586,0.42741444850428534,55,0.5
绩效数据,0.2131434599184785,0.6904761904761905,0.735666269596791,0.5811647722293131,55,1.0
绩效数据,0.1338206874771568,0.5952380952380952,0.4811142352727386,0.4496096383226278,55,1.5
绩效数据,0.012439865093776481,0.3333333333333333,-0.1942700160688179,0.03146631241175525,55,2.0
绩效数据,-0.00587333971417614,0.2857142857142857,-0.6538484289023858,-0.025610656013978002,55,2.5
绩效数据,-0.002835461403819406,0.07142857142857142,-2.502116841362252,-0.04932477758474529,55,3.0
绩效数据,0.17352046660087894,0.5952380952380952,0.5130242577255271,0.4122869631484083,60,0.5
