,ratio_mean,sharpe
timeperiod: 140; std: 1.5,0.0003375469113234685,0.14735063350208655
timeperiod: 140; std: 2,0.0011924965146220148,0.08260262069110799
timeperiod: 140; std: 2.5,,-0.11185711779430196
timeperiod: 140; std: 3,,-0.07291117394984109
timeperiod: 145; std: 0.5,0.0013945285825242768,0.12228677331142253
timeperiod: 145; std: 1,0.0019178613560184791,0.11244468995918573
timeperiod: 145; std: 1.5,0.0003810678148858868,0.12666426539924724
timeperiod: 145; std: 2,0.0011924965146220148,0.07956955123079115
timeperiod: 145; std: 2.5,,-0.09746670742205935
timeperiod: 145; std: 3,,-0.11864199347967726
timeperiod: 150; std: 0.5,0.0017587642810975778,0.12827267032930753
timeperiod: 150; std: 1,0.001993655155377511,0.11001797244214893
timeperiod: 150; std: 1.5,0.00037489235220547495,0.13768793131223026
timeperiod: 150; std: 2,0.002749197980427162,0.08315379471684498
timeperiod: 150; std: 2.5,,-0.0788677448521916
timeperiod: 150; std: 3,,-0.09208497916156763
timeperiod: 155; std: 0.5,0.0016676980224865458,0.13279278633894473
timeperiod: 155; std: 1,0.0019255717728054198,0.09545434910387518
timeperiod: 155; std: 1.5,0.00044890108272518285,0.12160075650726458
timeperiod: 155; std: 2,0.0021708664901960743,0.08678016875437354
timeperiod: 155; std: 2.5,,-0.04583423489355441
timeperiod: 155; std: 3,,-0.07501233798356467
timeperiod: 15; std: 0.5,0.0014873301608484876,0.15913171647305088
timeperiod: 15; std: 1,0.001753308602299322,0.15585996055931983
timeperiod: 15; std: 1.5,0.0021485801998245365,0.06976399583817
timeperiod: 15; std: 2,0.0024405469449230214,0.001755922743612808
timeperiod: 15; std: 2.5,0.0011466134219698869,-0.11560439080986681
timeperiod: 15; std: 3,,-0.1420576792423378
timeperiod: 160; std: 0.5,0.0015463252946592305,0.15090602196322478
timeperiod: 160; std: 1,0.001834786509041642,0.1176290245240741
timeperiod: 160; std: 1.5,0.00041039963147333693,0.11394023838129835
timeperiod: 160; std: 2,0.0021708664901960743,0.07605905665371886
timeperiod: 160; std: 2.5,,-0.05345351609841177
timeperiod: 160; std: 3,,-0.04252776227510393
timeperiod: 165; std: 0.5,0.0018082344394721637,0.15803746598992968
timeperiod: 165; std: 1,0.0019262538813273548,0.1322438785833018
timeperiod: 165; std: 1.5,0.0005524169536485811,0.11909924572731988
timeperiod: 165; std: 2,0.0021708664901960743,0.06925613350571985
timeperiod: 165; std: 2.5,,-0.027904296269606946
timeperiod: 165; std: 3,,-0.03811055608310627
timeperiod: 170; std: 0.5,0.002199761361397865,0.16720035788950252
timeperiod: 170; std: 1,0.0024625605330633204,0.11364736486038772
timeperiod: 170; std: 1.5,0.0005246282801566652,0.13406280920132935
timeperiod: 170; std: 2,0.002663740002837285,0.07001106248398371
timeperiod: 170; std: 2.5,,-0.007561251752781522
timeperiod: 170; std: 3,,-0.07045896365017032
timeperiod: 175; std: 0.5,0.0019672235185038273,0.15028020668894473
