,年化收益率,季度胜率,夏普比率,卡玛比率,fastperiod,slowperiod,signalperiod
绩效数据,0.06445139051890303,0.4523809523809524,0.14825629382612698,0.23819532530024126,35,140,20
绩效数据,0.05819931199147166,0.40476190476190477,0.11167204923076321,0.2117434791477965,35,140,25
绩效数据,0.0928911964251875,0.5952380952380952,0.3082026656152236,0.22845806146751163,40,50,5
绩效数据,0.10057651406693746,0.5714285714285714,0.35523702101703375,0.2820626009122768,40,50,10
绩效数据,0.059816254713144446,0.5476190476190477,0.1132552801420866,0.15059388287081776,40,50,15
绩效数据,0.05795148047536247,0.5476190476190477,0.105699533978659,0.15903921715426286,40,50,20
绩效数据,0.047339206461107786,0.5238095238095238,0.04310710158401216,0.11595725122020861,40,50,25
绩效数据,0.11593505366323842,0.6190476190476191,0.4438743754184714,0.3537206230912578,40,60,5
绩效数据,0.10919569680774188,0.5714285714285714,0.41108212487225676,0.3611109903473415,40,60,10
绩效数据,0.059094005908042924,0.5,0.11121659309138321,0.1545977203841269,40,60,15
绩效数据,0.04416227689284713,0.47619047619047616,0.02461804179823099,0.11498141374751496,40,60,20
绩效数据,0.07134456148827861,0.5,0.1846661312856611,0.27224598364683583,40,60,25
绩效数据,0.08543790947598895,0.5714285714285714,0.2674646550029167,0.23363597905632766,40,70,5
绩效数据,0.08010377373165545,0.5,0.23351455412317634,0.24160778535219063,40,70,10
绩效数据,0.047632535135669896,0.5238095238095238,0.04457242062477706,0.10139284863020864,40,70,15
绩效数据,0.05255586108613275,0.5238095238095238,0.0742527699599353,0.1637648721446884,40,70,20
绩效数据,0.05437881816270518,0.4523809523809524,0.08540969053879387,0.19115915116582943,40,70,25
绩效数据,0.07559009767931157,0.5714285714285714,0.20972668278984452,0.2180977930424552,40,80,5
绩效数据,0.06209481810325457,0.5,0.1294866819504857,0.1742997817313416,40,80,10
绩效数据,0.040903763205034194,0.5,0.005300356251097893,0.09783111187666912,40,80,15
绩效数据,0.06836950136384967,0.5476190476190477,0.16926119981317198,0.295301290177268,40,80,20
绩效数据,0.0482525321139875,0.4523809523809524,0.05033489554950878,0.16736560285847377,40,80,25
绩效数据,0.07492099675061703,0.5952380952380952,0.20848734967452023,0.25012480682383265,40,90,5
绩效数据,0.055736396291208745,0.47619047619047616,0.09245844305148217,0.14075622842303584,40,90,10
绩效数据,0.0410820473704987,0.5476190476190477,0.00652921916884986,0.11392843376952652,40,90,15
绩效数据,0.05679984606051902,0.47619047619047616,0.10193040979430062,0.19900883622619261,40,90,20
绩效数据,0.04132873697007988,0.42857142857142855,0.008175343454222403,0.14080095024506356,40,90,25
绩效数据,0.0774292712831608,0.5714285714285714,0.22497235652857692,0.24716378449578233,40,100,5
绩效数据,0.03913288808066606,0.42857142857142855,-0.005211289794967799,0.10202326823381128,40,100,10
绩效数据,0.047040132997197226,0.5238095238095238,0.04254592067055584,0.1304513533210468,40,100,15
绩效数据,0.05796409291557936,0.4523809523809524,0.1100172538054457,0.2231144518503866,40,100,20
绩效数据,0.04785313273054914,0.42857142857142855,0.04841830793607739,0.16002837566610087,40,100,25
绩效数据,0.06079406205551252,0.5238095238095238,0.12705044312650735,0.1693665491210776,40,110,5
绩效数据,0.03022667617992325,0.47619047619047616,-0.05888183160444827,0.06878819756930386,40,110,10
绩效数据,0.039052199004445454,0.5,-0.005722051630628678,0.11728598343893708,40,110,15
绩效数据,0.05406827937729597,0.47619047619047616,0.08496566135256255,0.18778794927475667,40,110,20
绩效数据,0.053098580591980804,0.42857142857142855,0.08109630383444623,0.1775699754111527,40,110,25
绩效数据,0.05705603517817148,0.5,0.10408653308178878,0.16644349845179715,40,120,5
绩效数据,0.0318523413794225,0.5,-0.04922023535810268,0.07429530692566276,40,120,10
绩效数据,0.05156847039941792,0.5,0.07011582900938423,0.17004868639627366,40,120,15
绩效数据,0.04350009501637775,0.42857142857142855,0.02127385174203084,0.13950225716679465,40,120,20
绩效数据,0.04548796231553842,0.40476190476190477,0.03356428446040367,0.15874417895020637,40,120,25
绩效数据,0.07177087186980491,0.47619047619047616,0.1941624098715338,0.22466809175069397,40,130,5
绩效数据,0.045384935812617266,0.5,0.0324992288852745,0.11797015758553156,40,130,10
绩效数据,0.051627265408430656,0.5,0.07055338103552913,0.1799200632572239,40,130,15
绩效数据,0.05425571441862198,0.4523809523809524,0.08676014151862953,0.19739569664211382,40,130,20
绩效数据,0.053182257795614474,0.35714285714285715,0.08103316165517842,0.18559578004221078,40,130,25
绩效数据,0.06588553639376071,0.5,0.1556836163893999,0.20663261046001527,40,140,5
绩效数据,0.06062132621378846,0.5714285714285714,0.12430567467050319,0.18474425982527365,40,140,10
绩效数据,0.06107973062663885,0.42857142857142855,0.1277270310680236,0.23250125788369305,40,140,15
绩效数据,0.06325457815678526,0.4523809523809524,0.1421726012959199,0.2301357867066639,40,140,20
绩效数据,0.0631550737647375,0.42857142857142855,0.14311019443707645,0.2203989763660688,40,140,25
绩效数据,0.06853267475315494,0.5476190476190477,0.17248091269479107,0.2314389724103789,40,150,5
绩效数据,0.06206489827569439,0.5238095238095238,0.13348589187759177,0.18419292234436196,40,150,10
绩效数据,0.0634209960782739,0.4523809523809524,0.14195205637480865,0.22415626224384852,40,150,15
绩效数据,0.07134972726516109,0.4523809523809524,0.19253741278932698,0.25958793962350357,40,150,20
绩效数据,0.0678986539758275,0.4523809523809524,0.17248621303284867,0.25253473238534657,40,150,25
绩效数据,0.06481751566425764,0.47619047619047616,0.14971306889614244,0.21412599180709133,40,160,5
绩效数据,0.061504196867751215,0.5,0.13021767247056604,0.1825289023626827,40,160,10
绩效数据,0.07361925897155897,0.4523809523809524,0.20476647870688888,0.2598313830520148,40,160,15
绩效数据,0.06816476246242886,0.47619047619047616,0.1727736175995845,0.24800025060765057,40,160,20
绩效数据,0.05804694948746847,0.42857142857142855,0.11116527442041493,0.21589339399603194,40,160,25
绩效数据,0.11065777906069396,0.5952380952380952,0.4126383586133686,0.33413520772273775,45,50,5
绩效数据,0.10226763882739087,0.5714285714285714,0.36705180147206606,0.33819985051668355,45,50,10
