,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.035486417909272205,0.5952380952380952,-0.020854437460988803,0.06559961739159627,50,0.5
绩效数据,0.029013034913690117,0.5952380952380952,-0.05330136522340304,0.053373019814079714,50,1.0
绩效数据,0.019253563810467167,0.5476190476190477,-0.10592010512987131,0.03270799014465245,50,1.5
绩效数据,0.05369698993901406,0.5476190476190477,0.0770117102494114,0.15787587873081113,50,2.0
绩效数据,0.02846628172998833,0.35714285714285715,-0.07243115375643587,0.0644655873339887,50,2.5
绩效数据,-0.012703247701760234,0.21428571428571427,-0.4047501439556554,-0.028282391834051363,50,3.0
绩效数据,0.05201000177568593,0.5476190476190477,0.05527871214416437,0.09760148221171724,55,0.5
绩效数据,0.024150252591838006,0.5476190476190477,-0.07661063071013885,0.039744539853982234,55,1.0
绩效数据,0.010385574180305168,0.47619047619047616,-0.15006513694506643,0.016095195678144172,55,1.5
绩效数据,0.05816214818356613,0.5476190476190477,0.10187224819791983,0.1373178129769995,55,2.0
绩效数据,0.02928614100772431,0.40476190476190477,-0.06794842419996218,0.06904667461246398,55,2.5
绩效数据,0.02430260787388905,0.2619047619047619,-0.11662206230196517,0.06115606250024283,55,3.0
绩效数据,0.03744909012229036,0.5476190476190477,-0.011757001518054418,0.06739601388665921,60,0.5
绩效数据,0.014467673651095136,0.5476190476190477,-0.12368969647047948,0.022474945101862726,60,1.0
绩效数据,0.028015211883448465,0.5238095238095238,-0.062160233673711186,0.04864408754628189,60,1.5
绩效数据,0.030104004393805894,0.5238095238095238,-0.05496197254498861,0.059552961297085115,60,2.0
绩效数据,0.05215232396275171,0.4523809523809524,0.07559157837714563,0.15966086798271018,60,2.5
绩效数据,0.003860811073761017,0.30952380952380953,-0.2562503404315092,0.008214646080565106,60,3.0
绩效数据,0.04195614172223738,0.5952380952380952,0.009054301750008388,0.07549316248672278,65,0.5
绩效数据,0.025084830641448397,0.5476190476190477,-0.07235196145533881,0.03995556232031726,65,1.0
绩效数据,0.050304909605884074,0.5238095238095238,0.053676903707888406,0.10441531201855668,65,1.5
