,年化收益率,季度胜率,夏普比率,卡玛比率,cmo_length,m_length
绩效数据,-0.042417929,0.452380952,-0.374543904,-0.057469668,175,180
绩效数据,-0.042492877,0.476190476,-0.37385549,-0.058506262,165,135
绩效数据,-0.041776686,0.476190476,-0.372805477,-0.054324634,235,180
绩效数据,-0.041729517,0.452380952,-0.371465436,-0.055158348,170,190
绩效数据,-0.042038123,0.404761905,-0.37040761,-0.060706604,50,205
绩效数据,-0.04144445,0.428571429,-0.370042148,-0.055947278,175,175
绩效数据,-0.041867408,0.5,-0.369636711,-0.058427882,35,220
绩效数据,-0.041685033,0.404761905,-0.369108429,-0.05903544,55,215
绩效数据,-0.040943977,0.452380952,-0.368920733,-0.055869837,185,220
绩效数据,-0.040973738,0.476190476,-0.368287252,-0.054186328,235,150
绩效数据,-0.040909306,0.476190476,-0.367808694,-0.054576343,175,190
绩效数据,-0.040650712,0.404761905,-0.367535173,-0.058055629,165,235
绩效数据,-0.040734453,0.452380952,-0.366815879,-0.053527519,185,165
绩效数据,-0.040475164,0.428571429,-0.366783746,-0.055496809,180,225
绩效数据,-0.040698838,0.452380952,-0.366589248,-0.054342241,180,165
绩效数据,-0.039506111,0.404761905,-0.366500471,-0.053424179,225,235
绩效数据,-0.041165414,0.452380952,-0.366407618,-0.058090517,100,145
绩效数据,-0.041023551,0.404761905,-0.365667338,-0.059155304,45,190
绩效数据,-0.039942675,0.476190476,-0.363413923,-0.052039414,210,155
绩效数据,-0.039907635,0.428571429,-0.362983252,-0.057110783,150,190
绩效数据,-0.040054024,0.476190476,-0.362977517,-0.055014909,165,140
绩效数据,-0.039814023,0.452380952,-0.362933912,-0.052708157,225,150
绩效数据,-0.039837781,0.428571429,-0.362145779,-0.054426176,180,130
绩效数据,-0.039596528,0.428571429,-0.361569878,-0.055822898,155,185
绩效数据,-0.039990367,0.404761905,-0.361225732,-0.05781225,100,160
绩效数据,-0.039237953,0.380952381,-0.361181288,-0.05586392,175,235
绩效数据,-0.039198078,0.452380952,-0.35983457,-0.051350515,190,160
绩效数据,-0.039640895,0.428571429,-0.359582685,-0.055774645,100,155
绩效数据,-0.038888578,0.452380952,-0.358503026,-0.050765704,195,160
绩效数据,-0.038839727,0.428571429,-0.358142937,-0.052491898,175,170
绩效数据,-0.038506742,0.380952381,-0.357811206,-0.054866712,175,230
绩效数据,-0.039270376,0.5,-0.357793222,-0.057422407,40,200
绩效数据,-0.039219139,0.452380952,-0.357620483,-0.057857207,45,200
绩效数据,-0.038656894,0.428571429,-0.357568208,-0.055995395,150,215
绩效数据,-0.038315587,0.452380952,-0.356640872,-0.056015086,160,230
绩效数据,-0.038138081,0.404761905,-0.35613078,-0.055483726,170,235
绩效数据,-0.038255985,0.452380952,-0.355848369,-0.055364895,155,220
绩效数据,-0.038817621,0.404761905,-0.355834921,-0.058386418,50,200
绩效数据,-0.038412277,0.476190476,-0.355280049,-0.053625688,160,135
绩效数据,-0.036988948,0.404761905,-0.355215701,-0.050433677,235,230
绩效数据,-0.038607817,0.452380952,-0.354802405,-0.057563994,45,195
绩效数据,-0.037788971,0.428571429,-0.353724534,-0.052881935,170,205
绩效数据,-0.037824988,0.476190476,-0.35366913,-0.051271392,180,175
绩效数据,-0.037803902,0.404761905,-0.353621285,-0.053545597,140,220
绩效数据,-0.037316583,0.428571429,-0.352091065,-0.053637405,175,215
绩效数据,-0.037271334,0.452380952,-0.35100653,-0.050817932,175,165
绩效数据,-0.0383687,0.523809524,-0.350914654,-0.048816239,75,110
绩效数据,-0.037203802,0.476190476,-0.350893548,-0.048803707,205,155
绩效数据,-0.037198461,0.452380952,-0.350869272,-0.050304114,165,195
绩效数据,-0.037307228,0.452380952,-0.350750508,-0.051556979,185,130
绩效数据,-0.037193947,0.428571429,-0.350727942,-0.052133636,170,180
绩效数据,-0.036966579,0.452380952,-0.350653721,-0.051544005,175,220
绩效数据,-0.037716351,0.452380952,-0.350644522,-0.052902596,45,180
绩效数据,-0.037289683,0.452380952,-0.350442279,-0.052841934,170,135
绩效数据,-0.036795334,0.452380952,-0.349717133,-0.049527273,235,155
绩效数据,-0.037393638,0.404761905,-0.349378784,-0.054502105,50,195
绩效数据,-0.036833526,0.452380952,-0.34933361,-0.049232146,220,150
绩效数据,-0.037193519,0.476190476,-0.349102965,-0.054206152,65,215
绩效数据,-0.037320171,0.452380952,-0.348903507,-0.053099365,45,185
绩效数据,-0.037643025,0.428571429,-0.348168152,-0.04980594,25,165
绩效数据,-0.037685987,0.547619048,-0.347857364,-0.048942525,60,125
绩效数据,-0.036988135,0.428571429,-0.347604174,-0.053235048,105,150
绩效数据,-0.036967493,0.380952381,-0.347573489,-0.054701387,50,210
绩效数据,-0.03687736,0.428571429,-0.347542024,-0.052096062,55,220
绩效数据,-0.036907642,0.404761905,-0.346954236,-0.053099622,55,165
绩效数据,-0.036226498,0.452380952,-0.346618961,-0.052477608,150,225
绩效数据,-0.036031814,0.452380952,-0.34580797,-0.053779805,155,230
绩效数据,-0.036200334,0.452380952,-0.344236678,-0.054031645,110,155
绩效数据,-0.035757177,0.428571429,-0.344138644,-0.050934076,160,185
绩效数据,-0.036183691,0.452380952,-0.34391625,-0.05120388,105,140
绩效数据,-0.036113899,0.428571429,-0.343718474,-0.052261754,110,150
绩效数据,-0.035925003,0.523809524,-0.343236325,-0.049757123,75,200
绩效数据,-0.035624008,0.428571429,-0.342889232,-0.049725064,175,130
绩效数据,-0.035029741,0.452380952,-0.340965285,-0.048027377,165,190
绩效数据,-0.035477707,0.452380952,-0.34075503,-0.052059906,105,145
