,年化收益率,季度胜率,夏普比率,卡玛比率,short_p,long_p
绩效数据,0.06861647012133965,0.5238095238095238,0.12778988888424403,0.17822037156250314,45,160
绩效数据,0.0819389259741865,0.5238095238095238,0.18766479621642473,0.20706674842142536,45,170
绩效数据,0.06025704778216334,0.5238095238095238,0.09070571829766656,0.14695044623303527,45,180
绩效数据,-0.02380027656147199,0.5,-0.28242665481355145,-0.0448164351593155,50,60
绩效数据,0.06032531709393263,0.5714285714285714,0.09003415294879043,0.13118721481916448,50,70
绩效数据,0.059192951040675235,0.5238095238095238,0.08506737580180307,0.13679616569865735,50,80
绩效数据,0.07675971308701657,0.5476190476190477,0.1632303285924217,0.19005095707420291,50,90
绩效数据,0.060556398234487,0.5476190476190477,0.09136930657181788,0.1356348854118656,50,100
绩效数据,0.052721637524604015,0.5476190476190477,0.05659861802205707,0.12996330651725072,50,110
绩效数据,0.06555252448815119,0.5,0.11376491527045496,0.1581538608695634,50,120
绩效数据,0.07023623634761655,0.5,0.13465824101596507,0.15856412427002334,50,130
绩效数据,0.08444572415985396,0.5476190476190477,0.19826749245281805,0.24417130420161803,50,140
绩效数据,0.0689166124745959,0.5238095238095238,0.12905291613981434,0.18493960953096641,50,150
绩效数据,0.06615520364895122,0.5238095238095238,0.1167968500826697,0.160837764742712,50,160
绩效数据,0.08017525917368395,0.5476190476190477,0.17977040780480844,0.21430641823625712,50,170
绩效数据,0.06638325495802921,0.5476190476190477,0.11814209425773196,0.17857849614359447,50,180
绩效数据,0.07112442791615514,0.5476190476190477,0.13961809958993,0.19731466808926337,50,190
绩效数据,0.09015107185741478,0.5238095238095238,0.22512265434335374,0.2352495800350887,50,200
绩效数据,-0.007860065260869686,0.5476190476190477,-0.21186626288315277,-0.013872641651448388,55,60
绩效数据,0.06901308296089281,0.6190476190476191,0.12852543985191536,0.16886546969300595,55,70
绩效数据,0.10330509727043813,0.5476190476190477,0.2806773508424397,0.3466741606111962,55,80
绩效数据,0.0614978229382066,0.5238095238095238,0.09545024726338748,0.14327875395800152,55,90
绩效数据,0.025607510525248012,0.5476190476190477,-0.06396021525551479,0.050503462560986895,55,100
绩效数据,0.045477917535921675,0.4523809523809524,0.0243702778648859,0.12432987263522514,55,110
绩效数据,0.06507953452310411,0.4523809523809524,0.11165871194462762,0.18944497616434783,55,120
绩效数据,0.05692154369197322,0.4523809523809524,0.07535411755017792,0.1386959195596379,55,130
绩效数据,0.08488600583792039,0.5714285714285714,0.20023224765598624,0.22460182415308327,55,140
绩效数据,0.07824479173718024,0.5476190476190477,0.17069560260312225,0.20886464342598685,55,150
绩效数据,0.07201781851742939,0.5238095238095238,0.14298242513636628,0.1910724639877568,55,160
绩效数据,0.06060060381342147,0.5476190476190477,0.09216771727490754,0.15390824398303302,55,170
绩效数据,0.06366409599981004,0.5,0.10596396201348582,0.1713927804751079,55,180
绩效数据,0.07906908152355929,0.5238095238095238,0.1752666565447477,0.20560349269118555,55,190
绩效数据,0.10732715567592344,0.5952380952380952,0.302270667582679,0.29570846524185085,55,200
绩效数据,0.11545695961534452,0.5714285714285714,0.3403777288962428,0.31026535590796644,55,210
绩效数据,0.1280599475339126,0.5476190476190477,0.3976124120306072,0.33146693068109345,55,220
绩效数据,0.09522987424662488,0.5714285714285714,0.24471318965017289,0.2981984893176773,60,70
绩效数据,0.05761399053740579,0.4523809523809524,0.07806830058530906,0.1768996566164041,60,80
绩效数据,0.016557108927595543,0.5,-0.10406328096455919,0.03241385979351695,60,90
绩效数据,0.02206595156323754,0.47619047619047616,-0.07969781105931638,0.049374286787486565,60,100
绩效数据,0.03486541293442946,0.42857142857142855,-0.022841639509389187,0.0801813441789125,60,110
绩效数据,0.04481483157785138,0.4523809523809524,0.021433894079401883,0.1281201857674759,60,120
绩效数据,0.056745324409146036,0.5,0.07456930598511154,0.13066728632938718,60,130
绩效数据,0.06474865849445921,0.5238095238095238,0.11038502072763008,0.14791528106302054,60,140
绩效数据,0.06196053363929188,0.5238095238095238,0.09800377419090196,0.15256124258539872,60,150
绩效数据,0.053235762116096375,0.5,0.059099801216849136,0.11855517793908014,60,160
绩效数据,0.07854435208551802,0.5476190476190477,0.17247049497902886,0.21329410906514656,60,170
绩效数据,0.06626957841193626,0.5238095238095238,0.11763296867061085,0.1719122943565253,60,180
绩效数据,0.08744388830917393,0.5476190476190477,0.2128508736304437,0.22212141419623913,60,190
绩效数据,0.13122795155236866,0.5714285714285714,0.4096746085163883,0.3534544086272794,60,200
绩效数据,0.12055586346071734,0.5476190476190477,0.36339713834956566,0.3120435608983108,60,210
绩效数据,0.1320341163440848,0.5714285714285714,0.41557470840700744,0.3447309274708705,60,220
绩效数据,0.12211537039096765,0.5714285714285714,0.3708415698746868,0.2751608981146726,60,230
绩效数据,0.07489860436974305,0.5238095238095238,0.15460424260945424,0.20611863635196406,65,70
绩效数据,0.026777219961549248,0.4523809523809524,-0.0585963760883699,0.058552945895033216,65,80
绩效数据,-0.001540179304205691,0.47619047619047616,-0.18438858450211995,-0.0027551096230561465,65,90
绩效数据,0.00972988859361279,0.42857142857142855,-0.134513085726947,0.01890823957923475,65,100
绩效数据,-0.005715669994439065,0.4523809523809524,-0.20334390641017466,-0.012211902353166288,65,110
绩效数据,0.043443191279756155,0.47619047619047616,0.015327734063617806,0.1129191391423132,65,120
绩效数据,0.05206869964814009,0.5,0.05374211541706556,0.11462347168449914,65,130
绩效数据,0.07656484712865219,0.5,0.16310180968068744,0.18627709129505154,65,140
绩效数据,0.06185404799666183,0.5238095238095238,0.097528490317172,0.14626241690473568,65,150
绩效数据,0.05576812036265122,0.5,0.0704082681727479,0.14310571506022676,65,160
绩效数据,0.08224418688881086,0.5476190476190477,0.18903120613485713,0.21335260015771734,65,170
绩效数据,0.08821796983590535,0.5476190476190477,0.21595195711449044,0.2179778281395248,65,180
绩效数据,0.11975606558973073,0.5714285714285714,0.3579219838532905,0.3103251578075842,65,190
绩效数据,0.12692055258974455,0.5714285714285714,0.3903134852130636,0.3170209614139708,65,200
绩效数据,0.13312543523564968,0.5714285714285714,0.4201563009878641,0.3517544901389542,65,210
绩效数据,0.12217700377503982,0.5476190476190477,0.3710263749160068,0.27529977577815445,65,220
绩效数据,0.12036338907173816,0.5476190476190477,0.36292284951639237,0.25675226426055087,65,230
绩效数据,0.040835767824143776,0.4523809523809524,0.00370391941020268,0.07816294834950968,70,80
绩效数据,0.012577190865954435,0.4523809523809524,-0.12172864886818431,0.022365571173923196,70,90
绩效数据,0.011456993660516446,0.47619047619047616,-0.12683889641057855,0.025847866675641158,70,100
绩效数据,0.0023643741005365815,0.42857142857142855,-0.16740636117411326,0.004801730502468432,70,110
绩效数据,0.03527185246580511,0.5,-0.021046995029281215,0.07816545827164705,70,120
绩效数据,0.04610840811507022,0.5238095238095238,0.02719992097095277,0.10874784304290137,70,130
绩效数据,0.059369850700204285,0.5238095238095238,0.08639118676259169,0.14105217232368042,70,140
绩效数据,0.06253223654296147,0.5238095238095238,0.10055550409085824,0.13991922952519814,70,150
绩效数据,0.08431024771865858,0.5476190476190477,0.19789541571089103,0.22825486674872827,70,160
绩效数据,0.0890310517335402,0.5714285714285714,0.21941264395979146,0.21818810950961476,70,170
绩效数据,0.08690758856050063,0.5714285714285714,0.21008093606605144,0.19873609467075512,70,180
绩效数据,0.09668909678347104,0.5714285714285714,0.2543483569421438,0.2321411281085147,70,190
绩效数据,0.13380979572125384,0.5714285714285714,0.42128066069978354,0.33325343640949284,70,200
绩效数据,0.13413480090472674,0.5714285714285714,0.42471500963628905,0.3436756659065885,70,210
绩效数据,0.12542775709869747,0.5714285714285714,0.38571659234606004,0.2685927056660527,70,220
绩效数据,0.13567360370068382,0.5714285714285714,0.4321352398965417,0.3104861294278299,70,230
绩效数据,0.003239553953078733,0.4523809523809524,-0.16289066722326914,0.005631150456392154,75,80
绩效数据,0.02150007855058389,0.4523809523809524,-0.08212281838122473,0.03926341142490596,75,90
绩效数据,0.013191709533819429,0.4523809523809524,-0.11913081885049913,0.023957646137752683,75,100
绩效数据,0.04721991815534121,0.5,0.032120444612920206,0.09724393512908201,75,110
绩效数据,0.04095735663592315,0.5,0.0042617203017529725,0.1007093726934631,75,120
绩效数据,0.04535248018915028,0.5238095238095238,0.023833777251151995,0.1167490778002386,75,130
绩效数据,0.06419847533507905,0.5476190476190477,0.10793067138485771,0.1662827611191666,75,140
绩效数据,0.059099360360682196,0.5238095238095238,0.08523357284494876,0.1406360061041301,75,150
绩效数据,0.04978513804456619,0.5714285714285714,0.04369132653333552,0.10866594918397451,75,160
绩效数据,0.07278929803285306,0.5476190476190477,0.1467126237145536,0.16422883812240646,75,170
绩效数据,0.08914548849206594,0.5952380952380952,0.22010768496121788,0.20765790437152012,75,180
绩效数据,0.09716546109513446,0.5714285714285714,0.25648675322966297,0.24609142810733872,75,190
绩效数据,0.12245250925119056,0.5714285714285714,0.37023258814571824,0.31374369197988355,75,200
绩效数据,0.11322932199631786,0.5714285714285714,0.33032180180941956,0.24247081076154792,75,210
绩效数据,0.11912238677671305,0.5714285714285714,0.3572236088837541,0.26310033684359996,75,220
绩效数据,0.11953257576876708,0.5952380952380952,0.3591678273073271,0.24461944081435072,75,230
绩效数据,0.012661033995346127,0.4523809523809524,-0.12135652407893113,0.022825973693872025,80,90
绩效数据,0.055730686054665135,0.4523809523809524,0.0699178492994145,0.12762924178791873,80,100
绩效数据,0.07561509317637927,0.47619047619047616,0.15847594921092056,0.17867538920957615,80,110
绩效数据,0.034684144686573104,0.5,-0.023663067125496106,0.07752072581468687,80,120
绩效数据,0.049946363789212356,0.5238095238095238,0.044290773144547546,0.11934464854327656,80,130
绩效数据,0.061108043349817454,0.5238095238095238,0.09414472486022502,0.1457489714779722,80,140
绩效数据,0.04565815082121638,0.5,0.025248285350605946,0.10781072459306756,80,150
绩效数据,0.05088288378117878,0.5238095238095238,0.04859314644780643,0.11569525282806159,80,160
绩效数据,0.06597230518731578,0.5238095238095238,0.11620502942808779,0.15714756722393802,80,170
绩效数据,0.06835931744698054,0.5238095238095238,0.12699248047458528,0.16256255299590375,80,180
绩效数据,0.10597093900844579,0.5476190476190477,0.29601842872482603,0.2515906795588354,80,190
绩效数据,0.1078484780043445,0.5714285714285714,0.3046126850275264,0.23094819822344928,80,200
绩效数据,0.1161453815775948,0.5476190476190477,0.3434855104128245,0.25652515738433235,80,210
绩效数据,0.12052080217897498,0.5476190476190477,0.3635424664466426,0.24664181329572915,80,220
绩效数据,0.09017428981123432,0.5714285714285714,0.22652378366928655,0.15791758682681825,80,230
绩效数据,-0.01827986541944615,0.4523809523809524,-0.2586872890158089,-0.027434756684356163,85,90
绩效数据,0.06676485357437878,0.4523809523809524,0.11896968041523116,0.1486409802930342,85,100
绩效数据,0.00770194790550871,0.4523809523809524,-0.1436662718273961,0.01357448752573703,85,110
绩效数据,0.05293308387038165,0.5,0.057576066233890416,0.11505293117240921,85,120
绩效数据,0.03759735097839356,0.47619047619047616,-0.010698202335692103,0.08565992037286581,85,130
绩效数据,0.040446824005965,0.5238095238095238,0.001992656827290846,0.09623695136722496,85,140
绩效数据,0.05577551681909676,0.5238095238095238,0.07039899225601694,0.12951656315973045,85,150
绩效数据,0.06535106606363716,0.5238095238095238,0.11320532840757143,0.15014786899519053,85,160
绩效数据,0.06374104210582932,0.5238095238095238,0.10622032969312141,0.14732034432117216,85,170
绩效数据,0.07503066886148124,0.5238095238095238,0.1568742308143112,0.17935056855775638,85,180
绩效数据,0.0901433349695302,0.5714285714285714,0.2249666493688685,0.20311874688546433,85,190
绩效数据,0.0995102971322297,0.5476190476190477,0.26715696962754665,0.219783983542667,85,200
绩效数据,0.11888797395524198,0.5714285714285714,0.3558670364089159,0.24330028464158082,85,210
绩效数据,0.10329260131817142,0.5952380952380952,0.28571074816330305,0.18089100974763708,85,220
绩效数据,0.08775170528979559,0.5952380952380952,0.21558204635557163,0.15352366135951384,85,230
绩效数据,0.042651305732537725,0.47619047619047616,0.011783330226485816,0.0828192813595312,90,100
绩效数据,0.002156933187844823,0.4523809523809524,-0.1683290003517962,0.0035896623933337197,90,110
绩效数据,0.03234408355085505,0.5238095238095238,-0.0340792793391239,0.061677328888101034,90,120
绩效数据,0.028194833636416616,0.47619047619047616,-0.05256226486401691,0.06294874747673408,90,130
绩效数据,0.019979530929765232,0.47619047619047616,-0.08927536347936633,0.04136214112694358,90,140
绩效数据,0.035880409152414305,0.5,-0.01838187317460883,0.07790697482489378,90,150
绩效数据,0.05011005364041221,0.47619047619047616,0.045142182076628304,0.11328083883983844,90,160
绩效数据,0.057436271175633324,0.5476190476190477,0.07800882389851294,0.1294203662523886,90,170
绩效数据,0.06048401812498172,0.5238095238095238,0.09172216798056246,0.12952129938000875,90,180
绩效数据,0.07874102586090181,0.5238095238095238,0.17379453772511663,0.1679658311044696,90,190
绩效数据,0.10421404954292846,0.5714285714285714,0.28828573119433337,0.21327058636722898,90,200
绩效数据,0.10348266368294845,0.5714285714285714,0.2863299757912455,0.181223856172655,90,210
绩效数据,0.10049536287175753,0.5952380952380952,0.2730766184099964,0.17581898843758778,90,220
绩效数据,0.0947795798001636,0.5952380952380952,0.24732531356088214,0.16591449449553958,90,230
绩效数据,0.02791598823655317,0.47619047619047616,-0.053701861998056065,0.05708055203124152,95,100
绩效数据,0.027798499338352434,0.5,-0.05427771739040324,0.047244491049377876,95,110
绩效数据,0.02666799708194456,0.47619047619047616,-0.05934417033661634,0.05499842905463575,95,120
绩效数据,0.024014254587458206,0.47619047619047616,-0.07117500403615919,0.05293483492556595,95,130
绩效数据,0.014026502657716655,0.47619047619047616,-0.11581880942806048,0.030296257648627034,95,140
绩效数据,0.046894875015996096,0.4523809523809524,0.030767110947278454,0.09762214829096172,95,150
绩效数据,0.05058102041935886,0.5,0.047245214376401695,0.11397352324762568,95,160
绩效数据,0.0651703325048143,0.5476190476190477,0.11261623898602738,0.13901760794763923,95,170
绩效数据,0.0898963261953245,0.5476190476190477,0.22347187689451636,0.20572581260349676,95,180
绩效数据,0.0779061992017045,0.5238095238095238,0.17004837579884352,0.15943244560845393,95,190
绩效数据,0.0825528122450725,0.5476190476190477,0.19100303063322158,0.15541557728578476,95,200
绩效数据,0.10263644547156692,0.5952380952380952,0.28251102171247106,0.1683652804580367,95,210
绩效数据,0.11218526404935414,0.5952380952380952,0.32588108883504185,0.19638366633236654,95,220
绩效数据,0.11399676502752931,0.5952380952380952,0.33414952281229016,0.21297182750529156,95,230
绩效数据,-0.004761913458178668,0.4523809523809524,-0.19910189688513058,-0.008614030455305998,100,110
绩效数据,0.022219897579780712,0.47619047619047616,-0.07914242013249524,0.05402764841363873,100,120
绩效数据,0.03306431927901077,0.5238095238095238,-0.0308816350934941,0.07706714028078122,100,130
绩效数据,0.0505099397403741,0.5238095238095238,0.04687268833682104,0.10385368959387417,100,140
绩效数据,0.0628706792659941,0.5,0.10206607893400248,0.12789206145421667,100,150
绩效数据,0.06292797710525089,0.5238095238095238,0.10238331710363052,0.13475482639373643,100,160
绩效数据,0.10232697889617759,0.5714285714285714,0.27894379291007926,0.23417309444812281,100,170
绩效数据,0.07942899210610554,0.5238095238095238,0.17657670287805843,0.14953461094398116,100,180
绩效数据,0.06536264626936505,0.5238095238095238,0.11376728122712239,0.11446623410154226,100,190
绩效数据,0.06789124645141809,0.5714285714285714,0.1251792395201828,0.1113691018518881,100,200
绩效数据,0.1121945506313542,0.6190476190476191,0.325650910008172,0.1963999227724284,100,210
绩效数据,0.1221098072586344,0.6190476190476191,0.3707227983768001,0.22812883156737,100,220
绩效数据,0.10878281395247069,0.5952380952380952,0.31058885604249187,0.19756237459433654,100,230
绩效数据,-0.010663550657599052,0.47619047619047616,-0.22535058598221439,-0.019546753847609063,105,110
绩效数据,0.007212571506570065,0.47619047619047616,-0.14593572581869138,0.015423789428365354,105,120
绩效数据,0.02849266131534911,0.5,-0.051236257526431205,0.055640363679958005,105,130
绩效数据,0.037799093049486476,0.5476190476190477,-0.009815035340387421,0.07657559375567086,105,140
绩效数据,0.042519153402454046,0.47619047619047616,0.011240991030154317,0.08408306769863076,105,150
绩效数据,0.050398347442068836,0.5476190476190477,0.0464295019453055,0.11131259662571856,105,160
绩效数据,0.1104593616501659,0.5952380952380952,0.31536421626119,0.22605140988381486,105,170
绩效数据,0.08271769928017414,0.5476190476190477,0.19130953729224415,0.14485924408759956,105,180
绩效数据,0.06958673976978957,0.5476190476190477,0.132718883714038,0.12174362921209382,105,190
绩效数据,0.10021807594054688,0.6190476190476191,0.27033614423886243,0.17543474495297054,105,200
绩效数据,0.12423577047177736,0.6190476190476191,0.38001228959103517,0.23210061331576212,105,210
绩效数据,0.12556148228955832,0.6190476190476191,0.3863210006771501,0.2280344081699173,105,220
绩效数据,0.13233434536757227,0.6190476190476191,0.41703720629944746,0.287160390335585,105,230
绩效数据,0.022012802021422306,0.5,-0.08006417809909633,0.04955526004624346,110,120
绩效数据,0.017638696720655878,0.47619047619047616,-0.09955923478843585,0.032917091376333286,110,130
