,年化收益率,季度胜率,夏普比率,卡玛比率,N1,N2,M
绩效数据,-0.07580258903140114,0.35714285714285715,-0.5126045259200571,-0.12374339603304652,30,15,25
绩效数据,-0.05849900167767963,0.42857142857142855,-0.4354536296735306,-0.1186590107392586,40,15,5
绩效数据,-0.06209540089921828,0.4523809523809524,-0.45184127435469806,-0.11134580566321729,40,15,10
绩效数据,-0.0825252590021972,0.38095238095238093,-0.5423807985161865,-0.12675276040911918,40,15,15
绩效数据,-0.10141540502475765,0.3333333333333333,-0.626140499452649,-0.1399285978025374,40,15,20
绩效数据,-0.12219603201690721,0.35714285714285715,-0.7184539617687218,-0.15802926212812438,40,15,25
绩效数据,-0.0580319801615129,0.42857142857142855,-0.4339131576383476,-0.09413215923830622,50,15,5
绩效数据,-0.10298390680009684,0.3333333333333333,-0.6330923566814479,-0.14192554704426472,50,15,10
绩效数据,-0.10677301513370219,0.2857142857142857,-0.6500496349158957,-0.13828151844692496,50,15,15
绩效数据,-0.13058462038072494,0.35714285714285715,-0.7557818565032709,-0.1594479595343749,50,15,20
绩效数据,-0.10469191475967943,0.4523809523809524,-0.640973052845936,-0.13486053234361262,50,15,25
绩效数据,-0.09977986608751821,0.35714285714285715,-0.6190448962106072,-0.14398024497982967,60,15,5
绩效数据,-0.1327057079552454,0.35714285714285715,-0.7651963285431801,-0.16322255167715835,60,15,10
绩效数据,-0.10620548189976908,0.3333333333333333,-0.6476856212023911,-0.1377344415698187,60,15,15
绩效数据,-0.12985649456014392,0.40476190476190477,-0.7530229402028834,-0.16128473197879276,60,15,20
绩效数据,-0.14906740699215348,0.38095238095238093,-0.8386262917684093,-0.17621942832459123,60,15,25
绩效数据,-0.04479495126476507,0.38095238095238093,-0.3747581004560394,-0.07030709885481011,30,20,5
绩效数据,-0.06276145281145884,0.40476190476190477,-0.4542571039790871,-0.10804133750172493,30,20,10
绩效数据,-0.08170645534924337,0.35714285714285715,-0.5381020444131469,-0.12299881726208256,30,20,15
绩效数据,-0.0935088336185057,0.2857142857142857,-0.5909568029291892,-0.13198755802013365,30,20,20
绩效数据,-0.08531247400476971,0.42857142857142855,-0.554727237389393,-0.12578777909233702,30,20,25
绩效数据,-0.08634933070622541,0.38095238095238093,-0.5586438684115609,-0.1223922154013073,40,20,5
绩效数据,-0.06618163117652787,0.42857142857142855,-0.46993242646038136,-0.09794045893056924,40,20,10
绩效数据,-0.06600371842062669,0.42857142857142855,-0.46921033635431847,-0.10088676962499928,40,20,15
绩效数据,-0.13277223525321025,0.42857142857142855,-0.765194253609068,-0.15969211002762818,40,20,20
绩效数据,-0.10565802394071133,0.4523809523809524,-0.6451056564753513,-0.13341037862753732,40,20,25
绩效数据,-0.1454313545776158,0.2857142857142857,-0.8212957250945772,-0.16849524783063308,50,20,5
绩效数据,-0.10355250372573943,0.42857142857142855,-0.6356128156419188,-0.13687504673703457,50,20,10
